STATEFP,PLACEFP,PLACENS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,full_fips
12,20108,01853249,1600000US1220108,1220108,Egypt Lake-Leto,Egypt Lake-Leto CDP,FL,Florida,57,15301552,838644,1220108
12,76675,02403008,1600000US1276675,1276675,West Pensacola,West Pensacola CDP,FL,Florida,57,18574233,392098,1276675
12,35350,02402631,1600000US1235350,1235350,Jasmine Estates,Jasmine Estates CDP,FL,Florida,57,9403108,133488,1235350
12,20925,02402457,1600000US1220925,1220925,Ensley,Ensley CDP,FL,Florida,57,31649876,149571,1220925
12,22660,02583342,1600000US1222660,1222660,Fleming Island,Fleming Island CDP,FL,Florida,57,41020989,18869846,1222660
12,41825,02404981,1600000US1241825,1241825,Lynn Haven,Lynn Haven city,FL,Florida,25,27072014,193745,1241825
12,21350,02403580,1600000US1221350,1221350,Eustis,Eustis city,FL,Florida,25,28752772,4996535,1221350
12,50630,02583371,1600000US1250630,1250630,Oakleaf Plantation,Oakleaf Plantation CDP,FL,Florida,57,42537083,420870,1250630
12,71567,02402922,1600000US1271567,1271567,The Crossings,The Crossings CDP,FL,Florida,57,8903853,328645,1271567
12,06875,02402694,1600000US1206875,1206875,Bloomingdale,Bloomingdale CDP,FL,Florida,57,21067201,644249,1206875
12,48850,02583369,1600000US1248850,1248850,Nocatee,Nocatee CDP,FL,Florida,57,69433174,2504132,1248850
12,42575,02405000,1600000US1242575,1242575,Maitland,Maitland city,FL,Florida,25,13882185,2894630,1242575
12,01675,02402649,1600000US1201675,1201675,Apollo Beach,Apollo Beach CDP,FL,Florida,57,50968039,6766047,1201675
12,26375,02402532,1600000US1226375,1226375,Golden Glades,Golden Glades CDP,FL,Florida,57,12514838,496240,1226375
12,78800,02403044,1600000US1278800,1278800,Wright,Wright CDP,FL,Florida,57,14230332,224564,1278800
12,30025,02404690,1600000US1230025,1230025,Hialeah Gardens,Hialeah Gardens city,FL,Florida,25,8344775,1161077,1230025
12,26300,02402531,1600000US1226300,1226300,Golden Gate,Golden Gate CDP,FL,Florida,57,10112933,534727,1226300
12,78740,02583391,1600000US1278740,1278740,World Golf Village,World Golf Village CDP,FL,Florida,57,69984702,1088318,1278740
13,21324,02404179,1600000US1321324,1321324,Dallas,Dallas city,GA,Georgia,25,19116527,92553,1321324
13,13688,02404002,1600000US1313688,1313688,Cartersville,Cartersville city,GA,Georgia,25,74122058,317826,1313688
13,60340,02404504,1600000US1360340,1360340,Perry,Perry city,GA,Georgia,25,69867390,337064,1360340
13,35716,02403765,1600000US1335716,1335716,Grovetown,Grovetown city,GA,Georgia,25,13654314,33435,1335716
13,28968,02403603,1600000US1328968,1328968,Fayetteville,Fayetteville city,GA,Georgia,25,33575755,562341,1328968
13,30536,02403636,1600000US1330536,1330536,Forest Park,Forest Park city,GA,Georgia,25,24111918,156658,1330536
13,63952,02403465,1600000US1363952,1363952,Redan,Redan CDP,GA,Georgia,57,20949101,99137,1363952
13,12834,02402746,1600000US1312834,1312834,Candler-McAfee,Candler-McAfee CDP,GA,Georgia,57,18035427,41411,1312834
13,00408,02403059,1600000US1300408,1300408,Acworth,Acworth city,GA,Georgia,25,23543998,1811041,1300408
13,39524,02404716,1600000US1339524,1339524,Holly Springs,Holly Springs city,GA,Georgia,25,18621170,260589,1339524
13,12456,02403967,1600000US1312456,1312456,Calhoun,Calhoun city,GA,Georgia,25,41530025,193617,1312456
13,71604,02405480,1600000US1371604,1371604,Snellville,Snellville city,GA,Georgia,25,27119247,339919,1371604
13,16544,02404059,1600000US1316544,1316544,Clarkston,Clarkston city,GA,Georgia,25,4777884,36617,1316544
15,07470,02414015,1600000US1507470,1507470,Ewa Gentry,Ewa Gentry CDP,HI,Hawaii,57,5513935,0,1507470
15,23000,02414058,1600000US1523000,1523000,Kailua,Kailua CDP,HI,Hawaii,57,35733828,13976275,1523000
15,30300,02583418,1600000US1530300,1530300,Kapolei,Kapolei CDP,HI,Hawaii,57,11316578,0,1530300
16,01990,02409701,1600000US1601990,1601990,Ammon,Ammon city,ID,Idaho,25,19766181,33963,1601990
17,16691,02393651,1600000US1716691,1716691,Country Club Hills,Country Club Hills city,IL,Illinois,25,12872726,43099,1716691
17,70720,02399846,1600000US1770720,1770720,South Elgin,South Elgin village,IL,Illinois,47,18285806,520486,1770720
17,35879,02398537,1600000US1735879,1735879,Homewood,Homewood village,IL,Illinois,47,13509051,122555,1735879
17,23724,02398817,1600000US1723724,1723724,Elmwood Park,Elmwood Park village,IL,Illinois,47,4942717,0,1723724
17,17458,02393670,1600000US1717458,1717458,Crest Hill,Crest Hill city,IL,Illinois,25,23416935,369537,1717458
17,48242,02399308,1600000US1748242,1748242,Melrose Park,Melrose Park village,IL,Illinois,47,11274888,0,1748242
17,57732,02399622,1600000US1757732,1757732,Park Forest,Park Forest village,IL,Illinois,47,12849742,0,1757732
17,50218,02399387,1600000US1750218,1750218,Montgomery,Montgomery village,IL,Illinois,47,24083565,638491,1750218
17,42028,02398395,1600000US1742028,1742028,Lansing,Lansing village,IL,Illinois,47,19327056,148891,1742028
17,57394,02396134,1600000US1757394,1757394,Palos Hills,Palos Hills city,IL,Illinois,25,10997852,113870,1757394
17,70850,02399849,1600000US1770850,1770850,South Holland,South Holland village,IL,Illinois,47,18740904,40377,1770850
17,20292,02398734,1600000US1720292,1720292,Dolton,Dolton village,IL,Illinois,47,11837952,304312,1720292
17,47774,02399280,1600000US1747774,1747774,Maywood,Maywood village,IL,Illinois,47,7038039,0,1747774
19,01630,02393939,1600000US1901630,1901630,Altoona,Altoona city,IA,Iowa,25,30250676,31970,1901630
21,11170,02402734,1600000US2111170,2111170,Burlington,Burlington CDP,KY,Kentucky,57,22826584,0,2111170
22,48785,02403256,1600000US2248785,2248785,Marrero,Marrero CDP,LA,Louisiana,57,18646690,1518181,2248785
22,33245,02402571,1600000US2233245,2233245,Harvey,Harvey CDP,LA,Louisiana,57,16800231,1300667,2233245
22,73640,02405540,1600000US2273640,2273640,Sulphur,Sulphur city,LA,Louisiana,25,29062267,42041,2273640
22,75180,02402921,1600000US2275180,2275180,Terrytown,Terrytown CDP,LA,Louisiana,57,9489460,84243,2275180
24,65600,02389740,1600000US2465600,2465600,Reisterstown,Reisterstown CDP,MD,Maryland,57,13187972,11731,2465600
24,25750,02389033,1600000US2425750,2425750,Elkridge,Elkridge CDP,MD,Maryland,57,21651513,26825,2425750
24,47450,02390085,1600000US2447450,2447450,Lochearn,Lochearn CDP,MD,Maryland,57,14479074,78217,2447450
24,17350,02389325,1600000US2417350,2417350,Clarksburg,Clarksburg CDP,MD,Maryland,57,24989871,800933,2417350
24,03800,02389170,1600000US2403800,2403800,Ballenger Creek,Ballenger Creek CDP,MD,Maryland,57,27961794,39128,2403800
24,41250,02390603,1600000US2441250,2441250,Hyattsville,Hyattsville city,MD,Maryland,25,7005779,68516,2441250
24,52562,02389483,1600000US2452562,2452562,Milford Mill,Milford Mill CDP,MD,Maryland,57,17986554,28899,2452562
24,25150,02389028,1600000US2425150,2425150,Edgewood,Edgewood CDP,MD,Maryland,57,44297363,343677,2425150
24,56725,02389572,1600000US2456725,2456725,North Laurel,North Laurel CDP,MD,Maryland,57,16787367,146467,2456725
24,27250,02389060,1600000US2427250,2427250,Fairland,Fairland CDP,MD,Maryland,57,12859450,45369,2427250
24,12600,02389271,1600000US2412600,2412600,Camp Springs,Camp Springs CDP,MD,Maryland,57,19890716,39837,2412600
24,45325,02389871,1600000US2445325,2445325,Landover,Landover CDP,MD,Maryland,57,10359980,13340,2445325
24,65312,02389735,1600000US2465312,2465312,Redland,Redland CDP,MD,Maryland,57,18631495,392814,2465312
24,44975,02390025,1600000US2444975,2444975,Lake Shore,Lake Shore CDP,MD,Maryland,57,34767072,10884310,2444975
24,73650,02390321,1600000US2473650,2473650,South Laurel,South Laurel CDP,MD,Maryland,57,20901679,88305,2473650
24,59425,02389631,1600000US2459425,2459425,Owings Mills,Owings Mills CDP,MD,Maryland,57,24689264,97188,2459425
24,20875,02389375,1600000US2420875,2420875,Crofton,Crofton CDP,MD,Maryland,57,17123527,0,2420875
24,45525,02390032,1600000US2445525,2445525,Langley Park,Langley Park CDP,MD,Maryland,57,2574973,84,2445525
24,53325,02389499,1600000US2453325,2453325,Montgomery Village,Montgomery Village CDP,MD,Maryland,57,10054415,209839,2453325
24,06400,02389202,1600000US2406400,2406400,Beltsville,Beltsville CDP,MD,Maryland,57,18663312,70399,2406400
25,67700,02378235,1600000US2567700,2567700,Stoneham,Stoneham CDP,MA,Massachusetts,57,15578670,1632658,2567700
25,25485,00618364,1600000US2525485,2525485,Gardner,Gardner city,MA,Massachusetts,25,57153213,2454620,2525485
26,36700,01626436,1600000US2636700,2636700,Harper Woods,Harper Woods city,MI,Michigan,25,6810296,0,2636700
26,08640,01625941,1600000US2608640,2608640,Birmingham,Birmingham city,MI,Michigan,25,12415070,31709,2608640
26,34160,01626375,1600000US2634160,2634160,Grandville,Grandville city,MI,Michigan,25,18769951,1106861,2634160
27,24308,02394924,1600000US2724308,2724308,Golden Valley,Golden Valley city,MN,Minnesota,25,26411366,884667,2724308
27,45430,02395187,1600000US2745430,2745430,New Brighton,New Brighton city,MN,Minnesota,25,16820763,1533795,2745430
27,45628,02395201,1600000US2745628,2745628,New Hope,New Hope city,MN,Minnesota,25,13097543,148367,2745628
28,26860,02403686,1600000US2826860,2826860,Gautier,Gautier city,MS,Mississippi,25,78365955,4830360,2826860
28,55360,02404485,1600000US2855360,2855360,Pascagoula,Pascagoula city,MS,Mississippi,25,39824122,23659078,2855360
29,00280,02393314,1600000US2900280,2900280,Affton,Affton CDP,MO,Missouri,57,11836907,0,2900280
29,54352,02583784,1600000US2954352,2954352,Old Jamestown,Old Jamestown CDP,MO,Missouri,57,38668212,22627,2954352
32,22500,02410428,1600000US3222500,3222500,Elko,Elko city,NV,Nevada,25,46219690,0,3222500
32,71600,02410028,1600000US3271600,3271600,Sun Valley,Sun Valley CDP,NV,Nevada,57,37745431,0,3271600
34,64620,00885379,1600000US3464620,3464620,Roselle,Roselle borough,NJ,New Jersey,21,6824647,32524,3464620
34,34470,02389973,1600000US3434470,3434470,Iselin,Iselin CDP,NJ,New Jersey,57,8162841,2713,3434470
34,66570,00885392,1600000US3466570,3466570,Secaucus,Secaucus town,NJ,New Jersey,43,15090370,1857041,3466570
34,59640,00885356,1600000US3459640,3459640,Pleasantville,Pleasantville city,NJ,New Jersey,25,14817264,4045440,3459640
34,65280,00885383,1600000US3465280,3465280,Rutherford,Rutherford borough,NJ,New Jersey,21,7202944,290156,3465280
34,55770,00885338,1600000US3455770,3455770,Palisades Park,Palisades Park borough,NJ,New Jersey,21,3208856,107873,3455770
34,68370,02390312,1600000US3468370,3468370,Somerset,Somerset CDP,NJ,New Jersey,57,16392687,346537,3468370
34,40440,00885279,1600000US3440440,3440440,Lindenwold,Lindenwold borough,NJ,New Jersey,21,10106242,108551,3440440
34,21300,00885207,1600000US3421300,3421300,Elmwood Park,Elmwood Park borough,NJ,New Jersey,21,6845113,211085,3421300
36,18157,02389359,1600000US3618157,3618157,Coram,Coram CDP,NY,New York,57,35809365,0,3618157
36,35254,02389946,1600000US3635254,3635254,Holtsville,Holtsville CDP,NY,New York,57,18411792,0,3635254
36,35056,02389939,1600000US3635056,3635056,Holbrook,Holbrook CDP,NY,New York,57,17826641,0,3635056
36,22612,02389444,1600000US3622612,3622612,East Northport,East Northport CDP,NY,New York,57,13350783,0,3622612
36,28178,02390857,1600000US3628178,3628178,Garden City,Garden City village,NY,New York,47,13799905,71483,3628178
36,48010,02389494,1600000US3648010,3648010,Monsey,Monsey CDP,NY,New York,57,5937904,35515,3648010
36,49407,02389526,1600000US3649407,3649407,Nanuet,Nanuet CDP,NY,New York,57,14076190,13218,3649407
36,43874,02390951,1600000US3643874,3643874,Lynbrook,Lynbrook village,NY,New York,47,5213220,0,3643874
36,51396,02389559,1600000US3651396,3651396,North Amityville,North Amityville CDP,NY,New York,57,6103773,0,3651396
36,51495,02389562,1600000US3651495,3651495,North Bay Shore,North Bay Shore CDP,NY,New York,57,8279693,0,3651495
36,22733,02389446,1600000US3622733,3622733,East Patchogue,East Patchogue CDP,NY,New York,57,21544165,372306,3622733
36,37869,02389974,1600000US3637869,3637869,Islip,Islip CDP,NY,New York,57,12292964,1687132,3637869
36,04143,02389168,1600000US3604143,3604143,Baldwin,Baldwin CDP,NY,New York,57,10654991,1541841,3604143
36,24273,02389038,1600000US3624273,3624273,Elmont,Elmont CDP,NY,New York,57,8831008,30398,3624273
36,76089,02390417,1600000US3676089,3676089,Uniondale,Uniondale CDP,NY,New York,57,14792087,0,3676089
36,80225,02390475,1600000US3680225,3680225,West Hempstead,West Hempstead CDP,NY,New York,57,6883715,182142,3680225
36,46404,02389468,1600000US3646404,3646404,Medford,Medford CDP,NY,New York,57,27968187,0,3646404
36,63473,02389770,1600000US3663473,3663473,Ronkonkoma,Ronkonkoma CDP,NY,New York,57,20999858,859817,3663473
36,19972,02389400,1600000US3619972,3619972,Deer Park,Deer Park CDP,NY,New York,57,15973368,9723,3619972
36,78146,02390451,1600000US3678146,3678146,Wantagh,Wantagh CDP,NY,New York,57,9919069,768885,3678146
36,44831,02390959,1600000US3644831,3644831,Mamaroneck,Mamaroneck village,NY,New York,47,8311614,8822663,3644831
36,04935,02389179,1600000US3604935,3604935,Bay Shore,Bay Shore CDP,NY,New York,57,14706490,2706440,3604935
36,18146,02389357,1600000US3618146,3618146,Copiague,Copiague CDP,NY,New York,57,8008831,1597055,3618146
36,46668,02389474,1600000US3646668,3646668,Merrick,Merrick CDP,NY,New York,57,10311480,3029606,3646668
36,51517,02389564,1600000US3651517,3651517,North Bellmore,North Bellmore CDP,NY,New York,57,6786406,0,3651517
37,36080,02405958,1600000US3736080,3736080,Knightdale,Knightdale town,NC,North Carolina,43,20580242,16759,3736080
37,71460,02406844,1600000US3771460,3771460,Waxhaw,Waxhaw town,NC,North Carolina,43,31417888,234197,3771460
37,61200,02405454,1600000US3761200,3761200,Shelby,Shelby city,NC,North Carolina,25,57788409,85073,3761200
37,29800,02406649,1600000US3729800,3729800,Harrisburg,Harrisburg town,NC,North Carolina,43,29703185,0,3729800
39,48482,01085980,1600000US3948482,3948482,Mayfield Heights,Mayfield Heights city,OH,Ohio,25,10797012,24687,3948482
39,22694,02394565,1600000US3922694,3922694,Dublin,Dublin city,OH,Ohio,25,63923068,925661,3922694
39,01420,01086972,1600000US3901420,3901420,Alliance,Alliance city,OH,Ohio,25,23340322,116395,3901420
39,59416,01086428,1600000US3959416,3959416,Painesville,Painesville city,OH,Ohio,25,17677725,470707,3959416
39,77504,02397059,1600000US3977504,3977504,Trotwood,Trotwood city,OH,Ohio,25,78960809,56147,3977504
39,59234,02396116,1600000US3959234,3959234,Oxford,Oxford city,OH,Ohio,25,20043964,8641,3959234
39,61028,01085992,1600000US3961028,3961028,Parma Heights,Parma Heights city,OH,Ohio,25,10869165,303,3961028
39,73264,01086000,1600000US3973264,3973264,South Euclid,South Euclid city,OH,Ohio,25,12066855,0,3973264
39,27706,01086209,1600000US3927706,3927706,Forest Park,Forest Park city,OH,Ohio,25,16703016,12389,3927706
39,47306,01085978,1600000US3947306,3947306,Maple Heights,Maple Heights city,OH,Ohio,25,13388140,810,3947306
