"state","place","TotalPop","Male","Female","White","NonHispanic","USCitizen","Commute_DriveAlone","Family_Married","EnrolledSchool_Over3Yrs","Education_Bachelors","Eduction_GraduateProf","Household_English","PovertyLvl_2andOver","NonVeteran","Employed","NotLaborForce","House_OwnerOccupied","House_Built80to99","HealthIns_Covered"
"Florida","Ives Estates CDP",28744,0.472585583078208,0.527414416921792,0.183516559977734,0.764507375452268,0.870407737266908,0.532076259393265,0.0962635680489841,0.263428889507375,0.132201502922349,0.126809073197885,0.19708460896187,0.765481491789591,NA,0.636898135263011,0.205573337044253,0.202268299471194,0.175410520456443,0.648587531310882
"Florida","Jasmine Estates CDP",27404,0.52882790833455,0.47117209166545,NA,0.693730842212816,0.897971099109619,0.327762370456868,0.133484162895928,0.207451466939133,0.0492263903079842,0.00985257626623851,0.241971974894176,0.444935045978689,0.702890089038097,0.471719457013575,0.289811706320245,0.187381404174573,NA,0.358852722230331
"Florida","Lake Magdalene CDP",32190,0.507331469400435,0.492668530599565,0.589593041317179,0.714414414414414,0.940478409443927,0.319136377757067,0.176421248835042,0.171947809878844,0.169307238272756,0.114228021124573,0.310500155327742,0.574805840323082,0.738148493320907,0.503603603603604,0.302889095992544,0.268779123951538,0.177881329605468,0.436595215905561
"Florida","Lake Wales city",20185,0.533316819420362,0.466683180579638,0.577854842704979,0.759722566262076,0.927569977706218,0.282041119643299,0.187069606143176,0.230715878127322,0.106267029972752,0.0354223433242507,NA,0.501709189992569,0.71746346296755,0.363487738419619,0.424671785979688,0.209512013871687,0.123408471637354,0.441565518949715
"Florida","Lealman CDP",22640,0.493374558303887,0.506625441696113,0.555123674911661,0.84469964664311,0.919434628975265,0.297835689045936,0.12756183745583,0.22345406360424,0.0605123674911661,0.0784010600706714,0.286528268551237,0.489487632508834,0.746731448763251,0.490812720848057,0.293286219081272,0.245097173144876,0.0450971731448763,0.470185512367491
"Florida","Leisure City CDP",23924,0.514838655743187,0.485161344256813,0.629660591874268,0.173298779468316,0.80254138103996,0.364362146798194,0.0988965056010701,0.267513793679987,0.0350693863902357,0.0141280722287243,0.0415482360809229,0.462464470824277,0.737794683163351,0.470740678816251,0.316376860056847,0.161929443236917,0.0688848018725966,0.425555927102491
"Florida","Lynn Haven city",19936,0.491422552166934,0.508577447833066,NA,0.853832263242376,0.954654895666132,0.385232744783307,0.209219502407705,0.242676565008026,0.183236356340289,0.0803571428571429,NA,0.763994783306581,0.655848715890851,0.520315008025682,0.28275481540931,0.275030096308186,0.175561797752809,0.540880818619583
"Florida","Maitland city",21411,0.505441128391948,0.494558871608052,0.596422399701088,0.799822521133997,0.909906123020877,0.378917378917379,0.164775115594788,0.273831208257438,0.249918266311709,0.190322731306338,0.37681565550418,0.668768390079865,NA,0.611788333099809,0.228387277567605,0.239036009527813,0.10387184157676,0.585400028022979
"Florida","Marion Oaks CDP",26728,0.529108051481592,0.470891948518408,0.478599221789883,0.721228674049686,0.964307093684526,NA,0.155903920981742,0.329280155642023,0.077596527985633,0.0206899131996408,0.198293923974858,0.488700987728225,0.580664471715055,0.391948518407662,0.251234660281353,0.223136785393595,0.104833882071236,0.40975755761748
"Florida","Meadow Woods CDP",41403,0.486945390430645,0.513054609569355,0.21979083641282,0.320218341666063,0.852691833925078,0.415622056372727,0.238412675409994,0.23317150931092,0.158756611839722,0.10436441803734,0.073545395261213,0.792333888848634,0.803009443760114,0.564041253049296,0.278675458300123,0.254401854938048,0.114750138878825,0.576624882254909
"Florida","Midway CDP (Santa Rosa County)",22707,0.537147135244638,0.462852864755362,0.86290571189501,0.892323952966046,0.976747258554631,0.338001497335623,0.240938917514423,0.225349011318096,0.189148720658828,0.0680406922975294,NA,NA,0.674593737613952,0.485136741973841,0.277315365305853,0.31809574140133,0.138327388030123,0.560179680274805
